"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE.BAL",13.368,95.107,3.5,7.338,11.5,17.556,29.307
"ACER.RUB",6.193,51.859,0.391,2.449,5.057,9.047,15.389
"ACER.SAH",6.256,152.139,0,0,0.775,5.14,36.112
"BETU.ALL",3.339,54.853,0,0.165,1.118,4.053,15.266
"BETU.PAP",6.847,48.148,1.276,3.741,6.008,9.091,15.133
"FAGU.GRA",0.406,25.897,0,0,0,0.052,2.632
"LARI.LAR",0.914,28.914,0,0,0.172,1.095,3.918
"PICE.GLA",2.811,40.533,0,0.126,1.613,4.131,9.767
"PICE.MAR",12.708,122.924,0.059,2.615,8.49,17.681,41.368
"PICE.RUB",3.446,52.139,0,0.661,2.081,4.81,11.299
"PINU.BAN",2.095,64.447,0,0,0,2.212,10.444
"PINU.RES",0.48,31.677,0,0,0,0,2.943
"PINU.STR",1.187,60.205,0,0,0.24,1.23,5.736
"POPU.BAL",0.154,7.066,0,0,0,0.024,0.91
"POPU.TRE",5.28,57.176,0.13,1.903,4.12,7.511,14.358
"THUJ.SPP.ALL",4.077,60.966,0,0.71,2.368,5.291,14.825
"TSUG.CAN",0.51,31.168,0,0,0,0.362,2.721
"Total",70.071,284.044,26.65,48.73,67.838,90.558,118.181
