"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE_BAL",0,8.598,0,0,0,0,0
"ABIE_LAS",3.322,131.44,0,0,0,2.573,18.364
"ABIE_SPP",7.162,86.692,0,0,2.44,10.85,29.178
"BETU_PAP",0.052,21.8,0,0,0,0,0
"BETU_SPP",0.074,39.943,0,0,0,0,0.097
"LARI_LAR",0.011,14.205,0,0,0,0,0
"LARI_LYA",0,1.6,0,0,0,0,0
"LARI_SPP",0.002,13.699,0,0,0,0,0
"PICE_ENG_GLA",0,15.336,0,0,0,0,0
"PICE_ENG",0.018,21.806,0,0,0,0,0
"PICE_GLA",2.434,74.694,0,0,0,1.704,14.824
"PICE_MAR",2.096,63.726,0,0,0,1.753,12.489
"PICE_SPP",14.695,135.402,0,0.248,6.751,22.731,54.794
"PINU_ALB",0.001,5.95,0,0,0,0,0
"PINU_BAN",0.011,23.405,0,0,0,0,0
"PINU_CON_LAT",0.06,42.814,0,0,0,0,0
"PINU_CON",13.737,158.747,0,0,3.264,20.885,57.635
"PINU_SPP",0.003,18.817,0,0,0,0,0
"POPU_BAL",0.074,29.179,0,0,0,0,0
"POPU_TRE",2.561,124.547,0,0,0,1.776,13.774
"POPU_TRI",0,3.557,0,0,0,0,0
"PSEU_MEN_GLA",0,4.627,0,0,0,0,0
"PSEU_MEN",0,11.626,0,0,0,0,0
"SALI_SPP",0,0.274,0,0,0,0,0
"THUJ_PLI",0,0.14,0,0,0,0,0
"TSUG_HET",0.006,20.409,0,0,0,0,0
"TSUG_MER",0,11.822,0,0,0,0,0
"TSUG_SPP",0.001,18.498,0,0,0,0,0
"Total",46.321,239.479,0,6.762,36.035,78.914,123.74
