"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE.BAL",5.869,56.959,0.134,1.465,4.354,8.721,16.758
"ACER.RUB",0.618,98.747,0,0,0,0.087,3.449
"ACER.SAH",0.31,85.662,0,0,0,0,1.258
"BETU.ALL",0.659,43.668,0,0,0,0.064,4.357
"BETU.PAP",5.604,77.914,0.082,0.98,2.901,7.366,20.993
"FAGU.GRA",0.028,12.66,0,0,0,0,0
"LARI.LAR",0.27,32.486,0,0.023,0.116,0.265,0.984
"PICE.GLA",1.3,33.541,0,0.123,0.6,1.783,5.085
"PICE.MAR",27.012,137.742,2.602,10.41,23.557,42.444,59.655
"PICE.RUB",0.1,11.792,0,0,0,0,0.538
"PINU.BAN",4.499,82.586,0.164,0.801,2.42,5.882,16.132
"PINU.RES",0.012,17.07,0,0,0,0,0.038
"PINU.STR",0.085,19.953,0,0,0,0,0.488
"POPU.TRE",2.91,84.907,0,0.174,0.851,3.948,12.26
"QUER.RUB",0.001,3.733,0,0,0,0,0
"THUJ.SPP.ALL",0.282,26.959,0,0,0,0.04,1.663
"TSUG.CAN",0.01,12.061,0,0,0,0,0
"Total",49.571,316.336,6.316,26.623,52.882,70.868,87.683
