"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE_AMA",0.039,51.59,0,0,0,0,0
"ABIE_BAL",0.027,23.12,0,0,0,0,0
"ABIE_LAS",16.389,155.935,0,0,2.9,23.167,76.698
"ABIE_SPP",2.144,114.961,0,0,0,0,15.555
"ACER_MAC",0,0.421,0,0,0,0,0
"ACER_PEN",0,0.046,0,0,0,0,0
"ACER_RUB",0,5.381,0,0,0,0,0
"ACER_SAC",0,2.579,0,0,0,0,0
"ACER_SAH",0.001,28.989,0,0,0,0,0
"ACER_SPI",0,0.555,0,0,0,0,0
"ACER_SPP",0,7.079,0,0,0,0,0
"ALNU_INC_RUG",0,0.107,0,0,0,0,0
"ALNU_INC_TEN",0,5.661,0,0,0,0,0
"ALNU_RUB",0,8.814,0,0,0,0,0
"ALNU_SPP",0,0.056,0,0,0,0,0
"BETU_ALL",0,7.907,0,0,0,0,0
"BETU_PAP",1.997,77.734,0,0,0,1.928,9.449
"BETU_POP",0,0.145,0,0,0,0,0
"BETU_SPP",0.137,35.885,0,0,0,0,0
"CARP_CAR",0,0.381,0,0,0,0,0
"CARY_COR",0,0.069,0,0,0,0,0
"CAST_DEN",0,0.007,0,0,0,0,0
"CHAM_NOO",0.002,12.134,0,0,0,0,0
"FAGU_GRA",0,5.71,0,0,0,0,0
"FRAX_AME",0,1.616,0,0,0,0,0
"FRAX_NIG",0,3.286,0,0,0,0,0
"FRAX_PEN_SUB",0,0.828,0,0,0,0,0
"GENERIC_BROADLEAF_SPP",0,8.492,0,0,0,0,0
"GENERIC_NEEDLELEAF_SPP",0,4.184,0,0,0,0,0
"LARI_LAR",0.01,23.896,0,0,0,0,0
"LARI_LYA",0.001,22.145,0,0,0,0,0
"LARI_OCC",0.064,70.323,0,0,0,0,0
"LARI_SPP",0.042,76.557,0,0,0,0,0
"OSTR_VIR",0,0.628,0,0,0,0,0
"PICE_ABI",0,1.193,0,0,0,0,0
"PICE_ENG_GLA",2.146,70.597,0,0,0,0,17.129
"PICE_ENG",0.991,63.88,0,0,0,0,7.522
"PICE_GLA",12.436,161.287,0,1.499,7.161,18.929,41.589
"PICE_MAR",1.144,49.208,0,0,0,0.525,6.961
"PICE_RUB",0,2.492,0,0,0,0,0
"PICE_SPP",19.297,247.418,0,2.357,10.823,28.387,67.165
"PINU_ALB",0.012,21.123,0,0,0,0,0
"PINU_BAN",0.001,14.946,0,0,0,0,0
"PINU_CON_LAT",3.09,106.333,0,0,0,0.778,21.759
"PINU_CON",39.816,199.205,0,5.375,30.276,66.453,111.42
"PINU_MON",0.142,52,0,0,0,0,0
"PINU_PON",0.021,51.454,0,0,0,0,0
"PINU_RES",0.002,20.408,0,0,0,0,0
"PINU_SPP",0.003,20.986,0,0,0,0,0
"PINU_STR",0.002,22.015,0,0,0,0,0
"POPU_BAL",0.608,42.58,0,0,0,0.181,2.89
"POPU_GRA",0,0.201,0,0,0,0,0
"POPU_SPP",0.001,13.615,0,0,0,0,0
"POPU_TRE",8.666,104.399,0,0.208,3.676,12.812,34.002
"POPU_TRI",0.025,4.83,0,0,0,0,0
"PRUN_PEN",0,0.408,0,0,0,0,0
"PRUN_SER",0,0.084,0,0,0,0,0
"PSEU_MEN_GLA",0.668,72.678,0,0,0,0,2.811
"PSEU_MEN_MEN",0.006,47.86,0,0,0,0,0
"PSEU_MEN",12.26,211.279,0,0,1.631,14.398,61.499
"QUER_ALB",0,1.142,0,0,0,0,0
"QUER_RUB",0,5.096,0,0,0,0,0
"SALI_SPP",0.002,11.81,0,0,0,0,0
"SORB_AME",0,0.375,0,0,0,0,0
"THUJ_OCC",0,3.868,0,0,0,0,0
"THUJ_PLI",2.121,139.838,0,0,0,0,15.634
"THUJ_SPP",0,3.436,0,0,0,0,0
"TILI_AME",0,1.168,0,0,0,0,0
"TSUG_CAN",0,4.313,0,0,0,0,0
"TSUG_HET",2.088,140.529,0,0,0,0,12.813
"TSUG_MER",0.055,50.154,0,0,0,0,0
"TSUG_SPP",0.572,111.635,0,0,0,0,0.681
"ULMU_AME",0,0.323,0,0,0,0,0
"Total",127.027,349.978,20.058,77.791,127.414,175.546,230.411
