"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE_AMA",9.951,145.291,0,0,3.644,14.648,41.396
"ABIE_BAL",0,33.282,0,0,0,0,0
"ABIE_GRA",0,0.043,0,0,0,0,0
"ABIE_LAS",0.003,25.991,0,0,0,0,0
"ABIE_SPP",19.842,182.502,0,0,11.625,28.479,73.182
"ACER_CIR",0.001,0.303,0,0,0,0,0
"ACER_MAC",1.339,64.8,0,0,0,0,9.445
"ACER_RUB",0,12.852,0,0,0,0,0
"ACER_SAH",0,4.548,0,0,0,0,0
"ALNU_RUB",6.07,118.015,0,0,0.373,7.184,29.15
"ALNU_SPP",0,0.087,0,0,0,0,0
"ARBU_MEN",0.012,1.16,0,0,0,0,0
"BETU_ALL",0,5.002,0,0,0,0,0
"BETU_PAP",0.02,11.334,0,0,0,0,0
"BETU_SPP",0.093,16.624,0,0,0,0,0
"CHAM_NOO",18.33,200.341,0,0,3.793,29.796,73.099
"FAGU_GRA",0,1.182,0,0,0,0,0
"FRAX_AME",0,1.681,0,0,0,0,0
"GENERIC_BROADLEAF_SPP",0.031,10.488,0,0,0,0,0
"GENERIC_NEEDLELEAF_SPP",0,3.411,0,0,0,0,0
"LARI_LAR",0,1.133,0,0,0,0,0
"LARI_OCC",0.007,29.692,0,0,0,0,0
"LARI_SPP",0.003,67.794,0,0,0,0,0
"PICE_ENG",0.004,11.595,0,0,0,0,0
"PICE_GLA",0.017,11.831,0,0,0,0,0
"PICE_MAR",0,11.639,0,0,0,0,0
"PICE_RUB",0,17.87,0,0,0,0,0
"PICE_SIT",2.669,89.647,0,0,0,1.906,16.223
"PICE_SPP",1.646,115.666,0,0,0,0,10.859
"PINU_ALB",0,9.217,0,0,0,0,0
"PINU_CON_LAT",0.002,26.913,0,0,0,0,0
"PINU_CON",4.206,84.59,0,0,0,4.32,24.145
"PINU_MON",0.151,11.477,0,0,0,0,0
"PINU_PON",0.017,26.248,0,0,0,0,0
"PINU_STR",0,14.166,0,0,0,0,0
"POPU_BAL",0.121,52.596,0,0,0,0,0
"POPU_SPP",0.001,19.748,0,0,0,0,0
"POPU_TRE",0.002,14.887,0,0,0,0,0
"POPU_TRI",0.227,29.424,0,0,0,0,0
"PSEU_MEN_GLA",0.002,22.7,0,0,0,0,0
"PSEU_MEN_MEN",1.292,110.74,0,0,0,0,5.025
"PSEU_MEN",53.883,410.18,0,1.407,21.703,64.878,244.02
"QUER_RUB",0,2.833,0,0,0,0,0
"THUJ_PLI",39.594,206.677,0.593,10.554,28.209,61.695,112.47
"THUJ_SPP",0.214,56.101,0,0,0,0,0
"TSUG_CAN",0,8.935,0,0,0,0,0
"TSUG_HET",46.166,242.355,0,17.813,41.099,68.17,112.244
"TSUG_MER_HET",1.007,53.77,0,0,0,0,0
"TSUG_MER",1.017,74.104,0,0,0,0,7.241
"TSUG_SPP",51.157,305.386,0,16.198,40.736,76.496,140.591
"Total",259.102,605.389,91.868,185.636,261.176,328.235,430.484
