"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE.BAL",11.382,70.829,0.643,4.903,10.383,16.278,26.607
"ACER.RUB",1.338,54.36,0,0.023,0.253,1.468,6.338
"ACER.SAH",1.654,132.872,0,0,0,0.513,9.598
"BETU.ALL",2.518,43.668,0,0.005,0.537,3.329,11.636
"BETU.PAP",8.966,70.661,0.433,2.97,7.295,13.433,23.104
"FAGU.GRA",0.189,18.867,0,0,0,0,1.131
"FRAX.AME",0.028,8.81,0,0,0,0,0.095
"LARI.LAR",0.258,32.486,0,0,0.071,0.208,1.233
"PICE.GLA",3.392,33.541,0.096,1.288,3.05,5.035,7.976
"PICE.MAR",13.949,123.311,1.214,5.372,9.997,17.359,44.458
"PICE.RUB",0.646,19.21,0,0,0.197,0.739,2.882
"PINU.BAN",2.394,82.586,0,0.131,0.6,2.584,11.138
"PINU.RES",0.043,29.863,0,0,0,0,0.286
"PINU.STR",0.179,54.668,0,0,0,0.149,0.837
"POPU.TRE",4.502,84.907,0.076,1.053,2.763,6.429,14.452
"QUER.RUB",0.012,9.367,0,0,0,0,0
"THUJ.SPP.ALL",0.915,47.157,0,0,0.145,0.94,4.424
"TSUG.CAN",0.162,29.426,0,0,0,0,0.667
"Total",52.527,260.088,11.087,35.123,53.121,70.095,91.385
