"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE.BAL",17.472,127.58,4.609,10.239,15.927,23.102,35.524
"ACER.RUB",3.6,41.879,0,0.654,2.16,4.918,12.775
"ACER.SAH",6.71,160.55,0,0.06,1.131,5.915,39.675
"BETU.ALL",4.408,61.264,0,0.64,2.227,6.087,16.373
"BETU.PAP",8.957,53.983,1.645,5.034,8.148,11.898,19.122
"FAGU.GRA",0.456,24.419,0,0,0,0.162,2.913
"LARI.LAR",0.29,23.576,0,0,0.026,0.219,1.563
"PICE.GLA",5.758,55.442,0.859,2.913,5.24,7.976,12.233
"PICE.MAR",9.936,125.465,0.191,2.068,6.773,14.329,31.112
"PICE.RUB",1.386,35.108,0,0.143,0.608,1.834,5.426
"PINU.BAN",1.031,53.719,0,0,0.01,0.692,5.603
"PINU.RES",0.12,21.372,0,0,0,0,0.608
"PINU.STR",0.377,41.02,0,0,0.03,0.338,1.66
"POPU.TRE",6.257,59.088,0.144,1.975,4.947,9.117,16.971
"QUER.RUB",0.027,14.386,0,0,0,0,0.124
"THUJ.SPP.ALL",2.785,47.155,0,0.376,1.643,4.06,9.231
"TSUG.CAN",0.188,21.955,0,0,0,0,1.333
"Total",69.76,288.762,23.498,49.543,70.256,88.286,117.493
