"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE.BAL",15.542,127.58,4.591,9.291,13.789,20.123,32.391
"ACER.RUB",4.917,59.399,0.008,0.993,3.156,7.154,15.584
"ACER.SAH",8.48,148.036,0,0.224,2.606,10.035,40.498
"BETU.ALL",4.779,53.862,0.012,1.001,3.099,6.748,15.622
"BETU.PAP",7.82,58.674,1.46,3.979,6.893,10.448,17.646
"FAGU.GRA",0.7,24.59,0,0,0.04,0.729,3.52
"FRAX.AME",0.193,9.934,0,0,0,0.021,1.28
"LARI.LAR",0.4,26.786,0,0,0.079,0.409,1.857
"PICE.GLA",4.943,36.277,0.699,2.308,4.325,6.958,11.189
"PICE.MAR",7.188,125.465,0.204,1.261,3.547,9.734,26.255
"PICE.RUB",1.544,22.459,0.004,0.224,0.926,2.285,5.033
"PINU.BAN",0.586,54.977,0,0,0,0.364,3.005
"PINU.RES",0.188,16.272,0,0,0,0,0.883
"PINU.STR",0.358,29.855,0,0,0.075,0.385,1.562
"POPU.TRE",6.437,60.471,0.29,2.295,4.829,9.155,17.793
"QUER.RUB",0.032,11.506,0,0,0,0,0.196
"THUJ.SPP.ALL",3.483,51.435,0.027,0.645,2.465,4.961,10.901
"TSUG.CAN",0.728,35.657,0,0,0,0.361,4.218
"Total",68.318,277.334,24.36,49.541,68.05,85.453,114.678
