"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"ABIE_BAL",0,0.912,0,0,0,0,0
"ABIE_LAS",0.029,21.035,0,0,0,0,0
"ABIE_SPP",0,0.127,0,0,0,0,0
"BETU_PAP",0.39,20.677,0,0,0.014,0.185,2.531
"BETU_SPP",0.092,34.032,0,0,0,0,0.493
"FRAX_PEN_SUB",0,0.262,0,0,0,0,0
"LARI_LAR",0.497,14.128,0,0,0.207,0.572,1.869
"LARI_LYA",0.007,1.58,0,0,0,0,0
"LARI_SPP",0.048,10.88,0,0,0,0,0
"PICE_GLA",5.358,73.377,0,0.37,2.538,7.572,21.062
"PICE_MAR",11.761,78.376,0.089,2.422,9.859,18.07,31.169
"PICE_SPP",0.236,48.035,0,0,0,0,0.231
"PINU_BAN",0.401,35.491,0,0,0,0,2.821
"PINU_CON_LAT",0.006,9.807,0,0,0,0,0
"PINU_CON",1.565,92.06,0,0,0,0.473,9.377
"PINU_SPP",0.007,3.777,0,0,0,0,0
"POPU_BAL",0.153,35.873,0,0,0,0,0.806
"POPU_SPP",0,0.987,0,0,0,0,0
"POPU_TRE",4.353,122.231,0,0.273,1.17,4.745,21.058
"SALI_SPP",0,0.027,0,0,0,0,0
"Total",24.903,149.239,0.932,6.276,20.372,36.691,70.301
